REF_AREA_LABEL,REF_AREA,TIME_PERIOD,crime_rank,UNIT_MEASURE,poverty,UNIT_MEASURE_LABEL_x,SEX,unemployment,UNIT_MEASURE_LABEL_y,COMP_BREAKDOWN_1
Switzerland,CHE,2018,11,RANK,16.0,Percentage of population,F,4.776,Percentage,EINT
Switzerland,CHE,2018,11,RANK,16.0,Percentage of population,M,4.731,Percentage,EINT
Switzerland,CHE,2018,11,RANK,16.0,Percentage of population,_T,4.753,Percentage,EINT
Switzerland,CHE,2017,9,RANK,14.6,Percentage of population,F,4.717,Percentage,EADV
Switzerland,CHE,2017,9,RANK,14.6,Percentage of population,M,3.131,Percentage,EADV
Switzerland,CHE,2017,9,RANK,14.6,Percentage of population,_T,3.798,Percentage,EADV
Switzerland,CHE,2017,9,RANK,14.6,Percentage of population,F,8.185,Percentage,EBAS
Switzerland,CHE,2017,9,RANK,14.6,Percentage of population,M,8.204,Percentage,EBAS
Switzerland,CHE,2017,9,RANK,14.6,Percentage of population,_T,8.195,Percentage,EBAS
Switzerland,CHE,2017,9,RANK,14.6,Percentage of population,F,4.367,Percentage,EINT
Switzerland,CHE,2017,9,RANK,14.6,Percentage of population,M,4.832,Percentage,EINT
Switzerland,CHE,2017,9,RANK,14.6,Percentage of population,_T,4.6,Percentage,EINT
Chile,CHL,2017,44,RANK,8.5,Percentage of population,F,7.716,Percentage,EADV
Chile,CHL,2017,44,RANK,8.5,Percentage of population,M,6.565,Percentage,EADV
Chile,CHL,2017,44,RANK,8.5,Percentage of population,_T,7.08,Percentage,EADV
Chile,CHL,2017,44,RANK,8.5,Percentage of population,F,7.498,Percentage,EBAS
Chile,CHL,2017,44,RANK,8.5,Percentage of population,M,6.375,Percentage,EBAS
Chile,CHL,2017,44,RANK,8.5,Percentage of population,_T,6.789,Percentage,EBAS
Chile,CHL,2017,44,RANK,8.5,Percentage of population,F,8.253,Percentage,EINT
Chile,CHL,2017,44,RANK,8.5,Percentage of population,M,7.541,Percentage,EINT
Chile,CHL,2017,44,RANK,8.5,Percentage of population,_T,7.854,Percentage,EINT
Colombia,COL,2019,131,RANK,36.5,Percentage of population,F,13.773,Percentage,EADV
Colombia,COL,2019,131,RANK,36.5,Percentage of population,M,9.962,Percentage,EADV
Colombia,COL,2019,131,RANK,36.5,Percentage of population,_T,11.961,Percentage,EADV
Colombia,COL,2019,131,RANK,36.5,Percentage of population,F,10.55,Percentage,EBAS
Colombia,COL,2019,131,RANK,36.5,Percentage of population,M,6.571,Percentage,EBAS
Colombia,COL,2019,131,RANK,36.5,Percentage of population,_T,7.955,Percentage,EBAS
Colombia,COL,2019,131,RANK,36.5,Percentage of population,F,15.233,Percentage,EINT
Colombia,COL,2019,131,RANK,36.5,Percentage of population,M,9.594,Percentage,EINT
Colombia,COL,2019,131,RANK,36.5,Percentage of population,_T,12.032,Percentage,EINT
Colombia,COL,2018,135,RANK,35.5,Percentage of population,F,13.33,Percentage,EADV
Colombia,COL,2018,135,RANK,35.5,Percentage of population,M,9.857,Percentage,EADV
Colombia,COL,2018,135,RANK,35.5,Percentage of population,_T,11.685,Percentage,EADV
Colombia,COL,2018,135,RANK,35.5,Percentage of population,F,8.709,Percentage,EBAS
Colombia,COL,2018,135,RANK,35.5,Percentage of population,M,5.631,Percentage,EBAS
Colombia,COL,2018,135,RANK,35.5,Percentage of population,_T,6.716,Percentage,EBAS
Colombia,COL,2018,135,RANK,35.5,Percentage of population,F,14.332,Percentage,EINT
Colombia,COL,2018,135,RANK,35.5,Percentage of population,M,8.534,Percentage,EINT
Colombia,COL,2018,135,RANK,35.5,Percentage of population,_T,11.041,Percentage,EINT
Colombia,COL,2017,129,RANK,35.9,Percentage of population,F,12.787,Percentage,EADV
Colombia,COL,2017,129,RANK,35.9,Percentage of population,M,9.552,Percentage,EADV
Colombia,COL,2017,129,RANK,35.9,Percentage of population,_T,11.249,Percentage,EADV
Colombia,COL,2017,129,RANK,35.9,Percentage of population,F,8.842,Percentage,EBAS
Colombia,COL,2017,129,RANK,35.9,Percentage of population,M,5.38,Percentage,EBAS
Colombia,COL,2017,129,RANK,35.9,Percentage of population,_T,6.625,Percentage,EBAS
Colombia,COL,2017,129,RANK,35.9,Percentage of population,F,14.14,Percentage,EINT
Colombia,COL,2017,129,RANK,35.9,Percentage of population,M,8.357,Percentage,EINT
